npsn,nama_sekolah,alamat,kecamatan,jumlah_siswa,jumlah_guru,kepala_sekolah,telepon,kondisi_lingkungan,akreditasi
2.0104549E7,SDN Johar Baru 14 Pt.,Jl. Kramat Jaya Gg. VIII,Johar Baru,169.0,10.0,"Drs. ROSIDI, M. Pd",(021) 4255091,Padat/Kumuh,B
2.010455E7,SDN Johar Baru 15 Pg.,Jl. Kramat Jaya Gg. VIII,Johar Baru,218.0,11.0,,(021) 42801615,Padat/Kumuh,B
2.0104551E7,SDN Johar Baru 16 Pt.,Jl. Kramat Jaya Gg. VIII,Johar Baru,192.0,10.0,"SUTINAH,S.Pd",(021) 42874809,Padat/Kumuh,B
2.0104552E7,SDN Johar Baru 17 Pg.,Jl. Kramat Jaya Gg. VIII,Johar Baru,436.0,15.0,Dra. Meisastri Enosaka,(021) 4268673,Padat/Kumuh,A
2.0104553E7,SDN Johar Baru 18 Pt.,Jl. Kramat Jaya Gg. VIII,Johar Baru,229.0,10.0,Ibtizah Amin,(021) 4264774,Padat/Kumuh,B
2.0104554E7,SDN Johar Baru 19 Pg.,Jl. Kramat Jaya Gg. VIII,Johar Baru,327.0,13.0,"THERESIA YOHANA SUHARTINI, S.P",(021) 42875302,Padat/Kumuh,A
2.0104556E7,SDN Johar Baru 21 Pg.,Jl. Kramat Jaya Baru Blok H-1,Johar Baru,183.0,9.0,"Nur Achmadi, M.Pd",(021) 42800541,Padat/Kumuh,B
2.0104557E7,SDN Johar Baru 23 Pg.,Jl. Kramat Jaya Baru Blok H,Johar Baru,171.0,8.0,,(021) 42800837,Padat/Kumuh,B
2.0104558E7,SDN Johar Baru 25 Pg.,Jl. Kramat Jaya Baru Blok H,Johar Baru,137.0,7.0,"POPON E SUMARTINI, S. Pd",(021) 4266960,Baik,B
2.0104559E7,SDN Johar Baru 29 Pg.,Jl. Percetakan Negara II-A,Johar Baru,480.0,19.0,"Drs. Wanto, M. Pd",(021) 42886189,Baik,B
2.010457E7,SDN Johar Baru 31 Pg.,Jl. Mardani Raya No.12A,Johar Baru,296.0,10.0,"RASKUM, S. Pd, M. Si",(021) 4226606,Baik,A
2.0105261E7,SDN Kali Anyar 01 Pg.,Jl. Kali Anyar IV Gg. I No. 1,Tambora,282.0,12.0,"HUSIN,S.Pd",(021) 6303053,Padat/Kumuh,A
2.0101924E7,SDN Kali Anyar 02 Pt.,Jl. Kali Anyar IV Gg. I No. 1,Tambora,282.0,14.0,"OSEP SAEPUDIN, S.Pd",(021) 63863731,Padat/Kumuh,B
2.0104848E7,SDN Kali Baru 01 Pg.,Jl. Kalibaru Timur IV,Cilincing,507.0,27.0,SWITHA YUSFINA SIREGAR,(021) 4416976,Padat/Kumuh,A
2.0100997E7,SDN Kali Baru 03 Pg.,Jl. Kali Baru Timur III F No. 2,Cilincing,297.0,28.0,"SONTIA SIBUEA,S.Pd",(021) 4403992,Padat/Kumuh,B
2.0101001E7,SDN Kali Baru 05 Pg.,Jl. Kalibaru Barat IV No. 60,Cilincing,297.0,11.0,Siti Wardani Simanjuntak,(021) 44833627,Banjir,A
2.0101002E7,SDN Kali Baru 06 Pt.,Jl. Kalibaru Barat IV No. 60,Cilincing,330.0,15.0,"ESMIYATI HAPENAS TITI,S.Pd",(021) 44833627,Padat/Kumuh,A
2.0101003E7,SDN Kali Baru 07 Pg.,Jl. Kalibaru Barat IV No. 60,Cilincing,441.0,15.0,"H. Edy Setiady, M.M.Pd",(021) 4414153,Baik,A
2.0101004E7,SDN Kali Baru 08 Pt.,Jl. Tanah Merdeka No. 60,Cilincing,418.0,14.0,"H.MOH.HASANUDDIN,S.Pd,M.Si",(021) 4414201,Padat/Kumuh,A
2.0101005E7,SDN Kali Baru 09 Pg.,Jl. Kalibaru Timur VII No. 5,Cilincing,436.0,35.0,NINING SURYANINGSIH,(021) 4400687,Banjir,A
2.0105945E7,SDN Kalibata 01 Pg.,"Komp. Pomad, Jl. Dharma",Pancoran,265.0,13.0,"Dra. Rusmiyati, M.M.Pd",(021) 7946703,Baik,A
2.010303E7,SDN Kalibata 02 Pt.,"Komp. Pomad, Jl. Dharma",Pancoran,17.0,4.0,RUSMIYATI,(021) 7946703,Banjir,A
2.0105946E7,SDN Kalibata 03 Pg.,"Komp. Garuda, Jl. Raya Pasar Minggu",Pancoran,242.0,13.0,"Pito Arasid, S.Pd",(021) 79180362,Baik,A
2.0105947E7,SDN Kalibata 04 Pg.,Jl. Kalibata Timur IV Blok E,Pancoran,284.0,11.0,Drs. Sarnen,(021) 7984583,Banjir,A
2.0105948E7,SDN Kalibata 05 Pt.,Jl. Komp. Garuda Kalibata,Pancoran,,4.0,,(021) 79180362,Baik,B
2.0105949E7,SDN Kalibata 07 Pg.,Jl. Kalibata Timur IV,Pancoran,178.0,9.0,GISTIANA,(021) 7901190,Banjir,B
2.0103025E7,SDN Kalibata 08 Pg.,Jl. Kalibata Timur IV,Pancoran,167.0,11.0,Nur Uliah S.Pd,(021) 7900391,Banjir,B
2.010595E7,SDN Kalibata 09 Pg.,"Komp. Pomad, Jl. Dharma",Pancoran,182.0,12.0,"Sri Sudarmi, S.Pd.",(021) 7946704,Baik,A
2.0105951E7,SDN Kalibata 11 Pg.,Jl. Kalibata Tengah,Pancoran,253.0,13.0,"Ngatini, M. MPd",(021) 7988864,Padat/Kumuh,A
2.0103005E7,SDN Kalibata 12 Pg.,Jl. Kalibata Tengah No. 9A,Pancoran,170.0,9.0,Untung Yudono,(021) 7942385,Baik,B
2.0105263E7,SDN Kalideres 01 Pg.,Jl. Peta Selatan RT07/RW01 No. 29,Kalideres,297.0,12.0,"Nurasa, M.Pd",(021) 5450085,Baik,A
2.0101935E7,SDN Kalideres 02 Pt.,Jl. Peta Selatan RT07/RW01,Kalideres,321.0,12.0,"Hj. MISRIYAH, S.Pd, MM",(021) 54390384,Baik,A
2.0105265E7,SDN Kalideres 03 Pg.,Jl. Peta Selatan RT07/RW01 No. 29,Kalideres,273.0,14.0,"ENDANG PATRIYANI.WN, S.Pd.",(021) 5454585,Baik,A
2.0105266E7,SDN Kalideres 04 Pt.,Jl. Peta Selatan RT07/RW01 No. 29,Kalideres,307.0,10.0,"Hj. DUNIATI, S.Pd",(021) 54377650,Baik,A
2.0105267E7,SDN Kalideres 05 Pg.,Jl. Peta Barat RT004/RW07,Kalideres,356.0,15.0,Sunarti S.Pd.M.Si,(021) 5458889,Banjir,B
2.0105268E7,SDN Kalideres 06 Pg.,Jl. Peta Barat Rawalele,Kalideres,359.0,13.0,"RALINAWATI PRAMUDYASTUTI, S.Pd",(021) 5459577,Baik,A
2.0105269E7,SDN Kalideres 07 Pg.,Jl. Peta Selatan No. 7B,Kalideres,655.0,24.0,"TRI PUJI ASTUTI, S.Pd.",(021) 5409811,Baik,A
